Video_Number,Date_Recorded,Hours_CI_Students,Hours_Reading,Hours_Talking,Hours_Native_Media,Time_Recorded,Length_Minutes,Total_Words,Filler_Words,Unique_Words,Avg_Word_Freq,Med_Word_Freq,Entropy,TTR
84,2025-01-22,0.0,1.0,0.0,3.0,12:48,9.95,1130,74,281,4.02135231316726,1.0,6.859023438965153,0.2486725663716814
85,2025-01-23,0.0,1.25,0.75,2.5,09:35,8.63,984,70,263,3.741444866920152,1.0,6.750326930611696,0.2672764227642276
86,2025-01-24,0.0,2.0,0.0,2.5,23:30,7.42,771,62,262,2.942748091603053,1.0,6.835598153414848,0.3398184176394293
87,2025-01-25,0.0,0.0,1.0,2.0,23:34,13.83,1426,117,324,4.401234567901234,1.0,6.782697936909443,0.2272089761570827
88,2025-01-26,0.0,0.0,2.0,4.0,00:02,10.25,1135,90,338,3.357988165680473,1.0,6.940859962136368,0.2977973568281938
89,2025-01-27,0.0,1.0,0.0,3.75,12:16,8.48,984,73,273,3.604395604395605,1.0,6.825656302829295,0.2774390243902439
90,2025-01-28,0.0,1.0,0.0,3.5,13:54,10.28,1193,99,312,3.823717948717949,1.0,6.821041877120877,0.2615255658005029
91,2025-01-29,0.0,0.5,0.0,3.75,19:40,8.73,916,100,248,3.693548387096774,1.0,6.563948634635909,0.2707423580786026
92,2025-01-30,0.0,0.0,1.5,3.25,23:16,13.98,1491,124,417,3.575539568345324,1.0,7.110107639819485,0.2796780684104628
93,2025-01-31,0.0,0.0,0.5,2.75,23:17,7.82,831,62,282,2.9468085106382977,1.0,6.902921055832417,0.3393501805054151
94,2025-02-01,0.0,0.5,0.5,0.5,23:09,7.93,794,49,279,2.845878136200717,1.0,6.922378651119032,0.3513853904282116
95,2025-02-02,0.0,0.25,0.25,2.25,23:09,7.08,808,49,257,3.1439688715953307,1.0,6.842247633441684,0.3180693069306931
96,2025-02-03,0.0,0.0,0.0,3.0,00:23,9.37,962,74,300,3.2066666666666666,1.0,7.019978693338646,0.3118503118503118
97,2025-02-04,0.0,0.0,0.0,4.0,19:03,7.92,900,80,258,3.488372093023256,1.0,6.666324837934847,0.2866666666666667
98,2025-02-05,0.0,0.0,0.0,4.25,17:10,7.77,867,67,261,3.32183908045977,1.0,6.822992548359533,0.301038062283737
99,2025-02-06,0.0,0.0,2.5,3.25,23:16,6.93,769,64,232,3.314655172413793,1.0,6.5868044463152415,0.3016905071521456
100,2025-02-07,0.0,0.0,0.75,3.75,23:16,7.13,806,60,264,3.053030303030303,1.0,6.908556923174659,0.3275434243176178
101,2025-02-08,0.0,0.0,0.75,4.75,23:53,14.97,1779,94,404,4.403465346534653,1.0,7.005853291531391,0.2270938729623384
102,2025-02-09,0.0,0.0,0.0,3.75,00:16,11.77,1444,80,343,4.209912536443149,1.0,6.964903363590461,0.2375346260387811
103,2025-02-10,0.0,0.0,0.0,3.0,21:16,15.63,1695,91,412,4.114077669902913,1.0,7.1260542506478135,0.2430678466076696
104,2025-02-11,0.0,0.0,0.0,4.0,23:47,16.05,1715,86,410,4.182926829268292,1.0,7.086745997672872,0.239067055393586
105,2025-02-12,0.0,0.0,0.0,5.25,00:01,11.62,1379,66,362,3.80939226519337,1.0,7.021664667138464,0.2625090645395214
106,2025-02-13,0.0,0.0,1.0,3.75,00:23,11.45,1291,64,366,3.5273224043715845,1.0,7.131581179177807,0.2835011618900077
107,2025-02-14,0.0,0.0,0.0,3.5,22:50,11.55,1305,103,353,3.696883852691218,1.0,7.030654951493522,0.2704980842911877
108,2025-02-15,0.0,0.0,0.5,3.75,23:48,14.8,1523,74,410,3.714634146341464,1.0,7.23879561332915,0.2692055154300722
109,2025-02-16,0.0,0.0,0.25,2.75,22:47,8.92,974,52,302,3.225165562913907,1.0,7.023802295581577,0.3100616016427104
110,2025-02-17,0.0,0.0,0.25,4.0,21:32,8.95,1030,55,291,3.5395189003436425,1.0,6.951061643166583,0.2825242718446601
111,2025-02-18,0.0,0.0,1.0,4.5,22:36,12.53,1365,40,322,4.239130434782608,1.0,7.006396342453234,0.2358974358974359
112,2025-02-19,0.0,0.0,1.25,2.0,15:33,14.8,2037,106,470,4.334042553191489,1.0,7.389268767678626,0.2307314678448699
